iter	Logloss
0	0.665378442
1	0.6420902724
2	0.6198376859
3	0.6008045325
4	0.584840153
5	0.5698693951
6	0.5562132075
7	0.5455861895
8	0.5333657854
9	0.5224344489
10	0.5125338951
11	0.5030220117
12	0.4951200164
13	0.4871530426
14	0.4793107536
15	0.4725681691
16	0.4662785905
17	0.4601805612
18	0.4546782676
19	0.4495531575
20	0.4453338023
21	0.4425128551
22	0.4402603407
23	0.4363598341
24	0.4326512197
25	0.429225193
26	0.4264034314
27	0.4243791559
28	0.4225617312
29	0.4204431598
30	0.4189014221
31	0.4165404245
32	0.4147518887
33	0.412386562
34	0.4104723127
35	0.4087441691
36	0.4072347062
37	0.4055975582
38	0.4039320356
39	0.4027485365
40	0.4009549859
41	0.4001927322
42	0.3993357541
43	0.398286798
44	0.3981858157
45	0.3964803031
46	0.3948401548
47	0.3937347069
48	0.3928620413
49	0.392532863
50	0.3916857859
51	0.3908155634
52	0.3903214101
53	0.3899500129
54	0.3893480622
55	0.3881718496
56	0.3876912835
57	0.3867854429
58	0.3860613362
59	0.3852956107
60	0.3848097726
61	0.3840892235
62	0.3836919377
63	0.3825657877
64	0.381680435
65	0.3814628687
66	0.3809618146
67	0.3801316679
68	0.3797140657
69	0.3794848839
70	0.3788839619
71	0.3781971878
72	0.3780784607
73	0.3770685089
74	0.3762527637
75	0.3757913997
76	0.3749216487
77	0.3741527086
78	0.3739942058
79	0.3734173293
80	0.3729821966
81	0.37252379
82	0.3713785664
83	0.3709068727
84	0.3704154197
85	0.3699159515
86	0.3691090787
87	0.3685827362
88	0.3680893973
89	0.3676636085
90	0.3673171568
91	0.3671365802
92	0.366884553
93	0.3666569999
94	0.3659337933
95	0.3653747044
96	0.3650115795
97	0.3647316922
98	0.3645598165
99	0.3643808258
