iter	Passed	Remaining
0	2	217
1	3	168
2	6	201
3	8	193
4	9	185
5	11	182
6	13	179
7	15	173
8	16	167
9	18	163
10	19	157
11	22	168
12	24	162
13	26	160
14	27	154
15	29	152
16	30	151
17	32	148
18	34	145
19	36	147
20	38	146
21	41	146
22	41	140
23	43	138
24	45	136
25	47	135
26	49	133
27	55	143
28	59	144
29	60	140
30	62	138
31	63	135
32	65	133
33	69	134
34	71	132
35	73	130
36	75	128
37	76	125
38	78	123
39	79	119
40	83	120
41	86	119
42	88	117
43	90	114
44	90	110
45	93	109
46	95	107
47	97	106
48	100	104
49	102	102
50	104	100
51	105	97
52	107	95
53	108	92
54	110	90
55	113	89
56	115	87
57	118	85
58	119	83
59	121	81
60	123	78
61	124	76
62	128	75
63	130	73
64	133	71
65	135	69
66	137	67
67	138	65
68	140	62
69	141	60
70	144	59
71	147	57
72	148	55
73	150	52
74	152	50
75	153	48
76	155	46
77	157	44
78	159	42
79	161	40
80	163	38
81	165	36
82	167	34
83	168	32
84	170	30
85	171	27
86	176	26
87	178	24
88	179	22
89	181	20
90	182	18
91	184	16
92	185	13
93	187	11
94	191	10
95	193	8
96	194	6
97	196	4
98	198	2
99	199	0
